format,offset,width_bits,value_or_rule,producer,consumer,derivation,semantic_limit,evidence,confidence
chosen_vertex_input,0x0,32,0x41000000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 8; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x4,32,0x41000000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 8; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x8,32,0x3f000000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 0.5; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0xc,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x10,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x14,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x18,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x1c,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x20,32,0x41c00000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 24; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x24,32,0x41000000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 8; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x28,32,0x3f000000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 0.5; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x2c,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
chosen_vertex_input,0x30,32,0x3f800000,research input;0x000d87bc;0x000d8a22,0x00040355 vertex descriptor,IEEE-754 float 1; position then color,Chosen post-viewport values; not observed execution,P7G-006,CONFIRMED
